"","acousticness","danceability","duration","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"now & forever",0.132202,0.574686,281.32,0.514849,0.0,6,0.101683,-7.325,1,0.032397,107.945,4,0.103931
"if you want blood (you've got it)",0.030052,0.485279,274.26667,0.93441,0.145195,9,0.386634,-4.001,1,0.116222,141.211,4,0.544962
"give life back to music",0.001249,0.783681,273.52,0.644524,0.627169,9,0.099298,-10.161,0,0.033911,119.027,4,0.651852
"clocks",0.116102,0.598573,250.57288,0.689801,0.000158,5,0.145379,-8.97,0,0.027561,130.979,4,0.244728
"6pm in new york",0.092876,0.49006,283.30667,0.842069,0.0,5,0.155906,-4.178,1,0.332873,90.448,4,0.336236
"lose yourself to dance",0.083912,0.831731,353.89333,0.658752,0.001138,10,0.075266,-7.828,0,0.056973,100.163,4,0.662521
"touch",0.484392,0.361736,498.95955,0.413973,0.11543,6,0.077982,-12.707,0,0.043283,116.148,4,0.112575
"yes",0.018916,0.144873,419.97016,0.580224,0.558619,11,0.100524,-14.401,1,0.049332,81.06,4,0.203143
"don't let it break your heart",0.00056,0.419315,234.10621,0.76301,0.106485,8,0.170687,-7.956,0,0.043373,140.02,4,0.154261
"the game of love",0.824588,0.714495,322.14621,0.501214,0.330193,9,0.106739,-11.968,0,0.033208,90.038,4,0.679588
"jolene",0.351417,0.629546,260.25288,0.565256,4e-06,6,0.116634,-5.829,1,0.025365,131.851,4,0.304908
"sparks",0.724373,0.364816,227.09288,0.269192,0.071248,1,0.102683,-10.515,1,0.027741,100.251,4,0.170314
"fix you",0.161139,0.213758,294.14667,0.413663,0.001742,3,0.111707,-8.384,1,0.030691,140.246,4,0.115842
"in my place",0.056514,0.425209,226.68,0.586811,5e-06,9,0.297864,-5.453,1,0.027766,144.642,4,0.198112
"speed of sound",0.004199,0.489943,261.98621,0.902161,0.009865,11,0.123313,-5.737,0,0.059018,123.091,4,0.33606
"up with the birds",0.687418,0.338441,225.65265,0.487379,0.002923,2,0.357245,-7.882,1,0.03381,120.058,4,0.117377
"yellow",0.002399,0.426429,269.82667,0.644889,0.00012,11,0.265384,-7.982,1,0.028108,173.385,4,0.314355
"trouble",0.225145,0.559829,270.86667,0.492474,0.001853,11,0.190935,-8.543,0,0.030129,139.789,4,0.177613
"mylo xyloto",0.434426,0.181286,42.10649,0.367953,0.924612,10,0.217333,-12.757,1,0.035412,88.948,3,0.227421
"death and all his friends",0.698082,0.21943,378.85778,0.30387,0.718698,8,0.166952,-10.577,1,0.03138,129.381,4,0.082658
"green eyes",0.599547,0.608331,223.03955,0.403566,9e-06,9,0.228458,-8.642,1,0.026327,129.543,4,0.223563
"what if",0.321027,0.3151,298.51932,0.502129,0.002615,6,0.138343,-6.702,0,0.034744,136.87,4,0.182456
"god put a smile upon your face",0.175639,0.611523,297.30621,0.554872,9.3e-05,9,0.037956,-5.752,1,0.028584,126.541,4,0.235015
"preach",0.204085,0.581765,236.97333,0.500241,9.2e-05,2,0.104312,-8.024,1,0.430187,129.965,4,0.404274
"lovers in japan",5e-06,0.402376,237.23955,0.839458,0.074951,7,0.298745,-8.399,1,0.042868,110.283,4,0.337889
"motherboard",0.512481,0.544051,341.65288,0.701154,0.926978,4,0.105764,-14.953,0,0.036233,102.996,4,0.292781
"energy",0.380387,0.747964,181.93333,0.571188,0.0,11,0.534015,-7.916,1,0.478189,172.105,4,0.551827
"white shadows",0.005505,0.490546,328.21937,0.788892,0.050292,8,0.094888,-8.998,0,0.048454,127.44,4,0.267062
"daylight",0.011776,0.456698,327.79955,0.567009,0.567606,11,0.083923,-6.199,1,0.03005,132.75,4,0.214887
"twisted logic",0.026316,0.318835,271.85995,0.460615,0.077321,8,0.313655,-6.889,1,0.030445,79.898,3,0.054299
"walk all over you",0.007947,0.233158,310.0,0.86945,0.021637,9,0.250906,-4.652,1,0.064642,162.021,4,0.405531
"a whisper",0.593375,0.275731,238.33288,0.795769,0.267301,0,0.226137,-5.657,1,0.038269,176.99,3,0.259261
"beyond",0.40935,0.605969,290.23955,0.649625,0.493076,1,0.370474,-11.375,0,0.035244,104.001,4,0.781628
